,tokens_clean,tokens_clean,tokens_clean,tokens_clean,tokens_clean,tokens_clean,tokens_clean,tokens_clean,tokens_raw,tokens_raw,tokens_raw,tokens_raw,tokens_raw,tokens_raw,tokens_raw,tokens_raw
,total_tokens,unique_tokens,n_prompts,TTR,uniq_per_prompt,hapax_ratio,entropy,mean_prompt_len,total_tokens,unique_tokens,n_prompts,TTR,uniq_per_prompt,hapax_ratio,entropy,mean_prompt_len
operator,,,,,,,,,,,,,,,,
BackTranslation,17311,888,1485,0.051,0.598,0.019,6.515,11.657,17365,1062,1485,0.061,0.715,0.025,6.727,11.694
BertMLM,50118,899,4684,0.018,0.192,0.006,6.004,10.7,52389,976,4684,0.019,0.208,0.006,6.211,11.185
POSAwareSynonymReplacement,45246,1049,3993,0.023,0.263,0.009,6.032,11.331,49442,1063,3993,0.021,0.266,0.008,6.013,12.382
TinyT5Paraphrasing,53568,2000,4961,0.037,0.403,0.019,6.662,10.798,53624,2581,4961,0.048,0.52,0.027,6.906,10.809
original,11,11,1,1.0,11.0,1.0,3.459,11.0,11,11,1,1.0,11.0,1.0,3.459,11.0
